Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History
1,4583,1508.0,128.0,360.0,1.0
0,3000,0.0,66.0,360.0,1.0
0,2583,2358.0,120.0,360.0,1.0
0,6000,0.0,141.0,360.0,1.0
0,2333,1516.0,95.0,360.0,1.0
2,3200,700.0,70.0,360.0,1.0
2,2500,1840.0,109.0,360.0,1.0
0,1853,2840.0,114.0,360.0,1.0
2,1299,1086.0,17.0,120.0,1.0
0,4950,0.0,125.0,360.0,1.0
1,3596,0.0,100.0,240.0,0
0,3510,0.0,76.0,360.0,0.0
0,4887,0.0,133.0,360.0,1.0
0,2600,3500.0,115.0,0,1.0
0,7660,0.0,104.0,360.0,0.0
0,2600,1911.0,116.0,360.0,0.0
2,3365,1917.0,112.0,360.0,0.0
0,2799,2253.0,122.0,360.0,1.0
2,4226,1040.0,110.0,360.0,1.0
0,1442,0.0,35.0,360.0,1.0
2,3750,2083.0,120.0,360.0,1.0
0,3167,0.0,74.0,360.0,0
1,4692,0.0,106.0,360.0,1.0
0,3500,1667.0,114.0,360.0,1.0
0,1828,1330.0,100.0,0,0.0
0,3667,1459.0,144.0,360.0,1.0
0,3748,1668.0,110.0,360.0,1.0
0,3600,0.0,80.0,360.0,1.0
0,1800,1213.0,47.0,360.0,1.0
0,2400,0.0,75.0,360.0,0
0,3941,2336.0,134.0,360.0,1.0
0,4695,0.0,96.0,0,1.0
0,3410,0.0,88.0,0,1.0
1,5649,0.0,44.0,360.0,1.0
0,5821,0.0,144.0,360.0,1.0
0,2645,3440.0,120.0,360.0,0.0
0,4000,2275.0,144.0,360.0,1.0
0,1928,1644.0,100.0,360.0,1.0
0,3086,0.0,120.0,360.0,1.0
0,4230,0.0,112.0,360.0,1.0
2,4616,0.0,134.0,360.0,1.0
2,2708,1167.0,97.0,360.0,1.0
0,2132,1591.0,96.0,360.0,1.0
0,3366,2200.0,135.0,360.0,1.0
2,3357,2859.0,144.0,360.0,1.0
0,2500,3796.0,120.0,360.0,1.0
3,3029,0.0,99.0,360.0,1.0
0,4166,0.0,116.0,360.0,0.0
0,3200,2254.0,126.0,180.0,0.0
3,7100,0.0,125.0,60.0,1.0
0,4300,0.0,136.0,360.0,0.0
2,1875,1875.0,97.0,360.0,1.0
0,3500,0.0,81.0,300.0,1.0
3,4755,0.0,95.0,0,0.0
0,3750,0.0,113.0,480.0,1.0
1,1000,3022.0,110.0,360.0,1.0
3,3333,2166.0,130.0,360.0,0
0,3846,0.0,111.0,360.0,1.0
1,3988,0.0,50.0,240.0,1.0
0,2366,2531.0,136.0,360.0,1.0
2,3333,2000.0,99.0,360.0,0
0,2500,2118.0,104.0,360.0,1.0
0,2958,2900.0,131.0,360.0,1.0
2,3273,1820.0,81.0,360.0,1.0
0,4133,0.0,122.0,360.0,1.0
0,3620,0.0,25.0,120.0,1.0
0,2484,2302.0,137.0,360.0,1.0
0,1977,997.0,50.0,360.0,1.0
0,4188,0.0,115.0,180.0,1.0
0,1759,3541.0,131.0,360.0,1.0
2,4288,3263.0,133.0,180.0,1.0
1,3052,1030.0,100.0,360.0,1.0
0,7333,0.0,120.0,360.0,1.0
3,2071,754.0,94.0,480.0,1.0
0,5316,0.0,136.0,360.0,1.0
0,2929,2333.0,139.0,360.0,1.0
0,5050,0.0,118.0,360.0,1.0
1,2214,1398.0,85.0,360.0,0
0,4166,0.0,44.0,360.0,1.0
0,2137,8980.0,137.0,360.0,0.0
2,2957,0.0,81.0,360.0,1.0
0,3692,0.0,93.0,360.0,0
0,2014,1929.0,74.0,360.0,1.0
0,2718,0.0,70.0,360.0,1.0
0,3459,0.0,25.0,120.0,1.0
0,4895,0.0,102.0,360.0,1.0
0,4583,0.0,84.0,360.0,1.0
2,3316,3500.0,88.0,360.0,1.0
2,4200,1430.0,129.0,360.0,1.0
0,2698,2034.0,122.0,360.0,1.0
0,2330,4486.0,100.0,360.0,1.0
1,1538,1425.0,30.0,360.0,1.0
0,4860,830.0,125.0,360.0,1.0
0,6277,0.0,118.0,360.0,0.0
2,2281,0.0,113.0,360.0,1.0
0,3254,0.0,50.0,360.0,1.0
0,2980,2083.0,120.0,360.0,1.0
0,1863,1041.0,98.0,360.0,1.0
1,3089,1280.0,121.0,360.0,0.0
0,9323,0.0,75.0,180.0,1.0
0,4583,0.0,112.0,360.0,1.0
0,2439,3333.0,129.0,360.0,1.0
0,2237,0.0,63.0,480.0,0.0
0,1820,1769.0,95.0,360.0,1.0
3,3522,0.0,81.0,180.0,1.0
0,4344,736.0,87.0,360.0,1.0
0,3497,1964.0,116.0,360.0,1.0
2,2045,1619.0,101.0,360.0,1.0
1,3750,0.0,116.0,360.0,1.0
0,2333,1451.0,102.0,480.0,0.0
0,1916,5063.0,67.0,360.0,0
0,4600,0.0,73.0,180.0,1.0
0,3625,0.0,108.0,360.0,1.0
1,2178,0.0,66.0,300.0,0.0
0,2383,2138.0,58.0,360.0,0
0,4885,0.0,48.0,360.0,1.0
0,3858,0.0,76.0,360.0,1.0
0,4191,0.0,120.0,360.0,1.0
0,1907,2365.0,120.0,0,1.0
0,3416,2816.0,113.0,360.0,0
1,2600,2500.0,90.0,360.0,1.0
1,3500,1083.0,135.0,360.0,1.0
2,3917,0.0,124.0,360.0,1.0
0,4408,0.0,120.0,360.0,1.0
0,3244,0.0,80.0,360.0,1.0
0,3975,2531.0,55.0,360.0,1.0
0,2479,0.0,59.0,360.0,1.0
0,3418,0.0,127.0,360.0,1.0
3,3430,1250.0,128.0,360.0,0.0
3,5703,0.0,130.0,360.0,1.0
0,3173,3021.0,137.0,360.0,1.0
3,3850,983.0,100.0,360.0,1.0
0,150,1800.0,135.0,360.0,1.0
0,3727,1775.0,131.0,360.0,1.0
2,5000,0.0,72.0,360.0,0.0
2,4283,2383.0,127.0,360.0,0
0,2221,0.0,60.0,360.0,0.0
2,4009,1717.0,116.0,360.0,1.0
0,2971,2791.0,144.0,360.0,1.0
0,6250,0.0,128.0,360.0,1.0
0,4735,0.0,138.0,360.0,1.0
1,2491,2054.0,104.0,360.0,1.0
0,3716,0.0,42.0,180.0,1.0
0,3189,2598.0,120.0,0,1.0
1,3155,1779.0,140.0,360.0,1.0
0,3463,0.0,122.0,360.0,0
1,3812,0.0,112.0,360.0,1.0
1,3315,0.0,96.0,360.0,1.0
2,5819,5000.0,120.0,360.0,1.0
1,2510,1983.0,140.0,180.0,1.0
2,6250,1300.0,108.0,360.0,1.0
0,3406,4417.0,123.0,360.0,1.0
0,6050,4333.0,120.0,180.0,1.0
2,9703,0.0,112.0,360.0,1.0
1,6608,0.0,137.0,180.0,1.0
1,2882,1843.0,123.0,480.0,1.0
0,1809,1868.0,90.0,360.0,1.0
2,3427,0.0,138.0,360.0,1.0
0,2583,2167.0,104.0,360.0,1.0
0,6045,0.0,115.0,360.0,0.0
3,5250,0.0,94.0,360.0,1.0
3,4931,0.0,128.0,360.0,0
0,2060,2209.0,134.0,360.0,1.0
0,7200,0.0,120.0,360.0,1.0
0,5166,0.0,128.0,360.0,1.0
2,4708,1387.0,150.0,360.0,1.0
0,3418,0.0,135.0,360.0,1.0
1,2876,1560.0,90.0,360.0,1.0
0,3237,0.0,30.0,360.0,1.0
0,2833,1857.0,126.0,360.0,1.0
0,2620,2223.0,150.0,360.0,1.0
2,3900,0.0,90.0,360.0,1.0
1,2750,1842.0,115.0,360.0,1.0
0,3103,1300.0,80.0,360.0,1.0
0,4100,0.0,124.0,360.0,0
0,3927,800.0,112.0,360.0,1.0
2,2301,985.79,78.0,180.0,1.0
0,1811,1666.0,54.0,360.0,1.0
0,3158,3053.0,89.0,360.0,1.0
0,2600,1717.0,99.0,300.0,1.0
0,3704,2000.0,120.0,360.0,1.0
0,4124,0.0,115.0,360.0,1.0
0,3075,2416.0,139.0,360.0,1.0
2,4400,0.0,127.0,360.0,0.0
2,3153,1560.0,134.0,360.0,1.0
0,5417,0.0,143.0,480.0,0.0
3,4416,1250.0,110.0,360.0,1.0
1,4666,0.0,135.0,360.0,1.0
1,2014,2925.0,113.0,360.0,1.0
0,1800,2934.0,93.0,360.0,0.0
0,2875,1750.0,105.0,360.0,1.0
0,5000,0.0,132.0,360.0,1.0
1,1625,1803.0,96.0,360.0,1.0
0,4000,2500.0,140.0,360.0,1.0
0,3762,1666.0,135.0,360.0,1.0
0,2400,1863.0,104.0,360.0,0.0
0,2917,0.0,84.0,360.0,1.0
0,2927,2405.0,111.0,360.0,1.0
0,2507,0.0,56.0,360.0,1.0
2,5746,0.0,144.0,84.0,0
1,3399,1640.0,111.0,180.0,1.0
2,3717,0.0,120.0,360.0,1.0
0,2058,2134.0,88.0,360.0,0
1,3541,0.0,112.0,360.0,0
0,2400,2167.0,115.0,360.0,1.0
3,4342,189.0,124.0,360.0,1.0
0,3166,2985.0,132.0,360.0,0
0,4917,0.0,130.0,360.0,0.0
0,4333,2451.0,110.0,360.0,1.0
0,2500,0.0,67.0,360.0,1.0
1,4384,1793.0,117.0,360.0,1.0
0,2935,0.0,98.0,360.0,1.0
0,2833,0.0,71.0,360.0,1.0
0,5503,4490.0,70.0,0,1.0
0,4160,0.0,71.0,360.0,1.0
0,2378,0.0,46.0,360.0,1.0
3,3173,0.0,74.0,360.0,1.0
2,2583,2330.0,125.0,360.0,1.0
2,3083,2168.0,126.0,360.0,1.0
3,2666,2083.0,95.0,360.0,1.0
0,5500,0.0,105.0,360.0,0.0
0,2423,505.0,130.0,360.0,1.0
0,3813,0.0,116.0,180.0,1.0
1,3875,0.0,67.0,360.0,1.0
0,3000,1666.0,100.0,480.0,0.0
1,4723,0.0,81.0,360.0,1.0
0,4750,2333.0,130.0,360.0,1.0
0,3013,3033.0,95.0,300.0,0
0,6822,0.0,141.0,360.0,1.0
0,6216,0.0,133.0,360.0,1.0
0,2500,0.0,96.0,480.0,1.0
0,5124,0.0,124.0,0,0.0
1,3062,1987.0,111.0,180.0,0.0
0,2764,1459.0,110.0,360.0,1.0
0,4817,923.0,120.0,180.0,1.0
3,8750,4996.0,130.0,360.0,1.0
0,4310,0.0,130.0,360.0,0
0,3069,0.0,71.0,480.0,1.0
2,5391,0.0,130.0,360.0,1.0
0,3333,2500.0,128.0,360.0,1.0
0,7167,0.0,128.0,360.0,1.0
2,4566,0.0,100.0,360.0,1.0
1,3667,0.0,113.0,180.0,1.0
0,2346,1600.0,132.0,360.0,1.0
0,2333,2417.0,136.0,360.0,1.0
0,5488,0.0,125.0,360.0,1.0
0,2583,2115.0,120.0,360.0,0
2,1993,1625.0,113.0,180.0,1.0
2,3100,1400.0,113.0,360.0,1.0
2,3276,484.0,135.0,360.0,0
0,3180,0.0,71.0,360.0,0.0
0,3033,1459.0,95.0,360.0,1.0
0,3902,1666.0,109.0,360.0,1.0
0,1500,1800.0,103.0,360.0,0.0
2,2889,0.0,45.0,180.0,0.0
0,2755,0.0,65.0,300.0,1.0
0,2500,20000.0,103.0,360.0,1.0
0,1963,0.0,53.0,360.0,1.0
0,4547,0.0,115.0,360.0,1.0
0,2167,2400.0,115.0,360.0,1.0
0,2213,0.0,66.0,360.0,1.0
1,3867,0.0,62.0,360.0,1.0
0,2253,2033.0,110.0,360.0,1.0
0,2995,0.0,60.0,360.0,1.0
0,1025,2773.0,112.0,360.0,1.0
0,3246,1417.0,138.0,360.0,1.0
0,5829,0.0,138.0,360.0,1.0
0,2720,0.0,80.0,0,0.0
0,1820,1719.0,100.0,360.0,1.0
1,7250,1667.0,110.0,0,0.0
0,2666,4300.0,121.0,360.0,1.0
1,4606,0.0,81.0,360.0,1.0
2,5935,0.0,133.0,360.0,1.0
0,2920,16.12,87.0,360.0,1.0
0,2717,0.0,60.0,180.0,1.0
1,8624,0.0,150.0,360.0,1.0
0,6500,0.0,105.0,360.0,0.0
0,2425,2340.0,143.0,360.0,1.0
0,3750,0.0,100.0,360.0,1.0
0,1926,1851.0,50.0,360.0,1.0
0,7142,0.0,138.0,360.0,1.0
3,4707,1993.0,148.0,360.0,1.0
1,3466,1210.0,130.0,360.0,1.0
2,4652,0.0,110.0,360.0,1.0
0,3539,1376.0,55.0,360.0,1.0
2,3340,1710.0,150.0,360.0,0.0
2,2309,1255.0,125.0,360.0,0.0
2,1958,1456.0,60.0,300.0,0
0,3948,1733.0,149.0,360.0,0.0
0,2483,2466.0,90.0,180.0,0.0
0,7085,0.0,84.0,360.0,1.0
2,3859,0.0,96.0,360.0,1.0
0,4301,0.0,118.0,360.0,1.0
2,4354,0.0,136.0,360.0,1.0
3,7740,0.0,128.0,180.0,1.0
1,5191,0.0,132.0,360.0,1.0
0,4166,0.0,98.0,360.0,0.0
0,6000,0.0,140.0,360.0,1.0
3,2947,1664.0,70.0,180.0,0.0
2,210,2917.0,98.0,360.0,1.0
0,4333,2451.0,110.0,360.0,1.0
1,2653,1500.0,113.0,180.0,0.0
3,4691,0.0,100.0,360.0,1.0
0,2500,0.0,93.0,360.0,0
2,2873,1872.0,132.0,360.0,0.0
3,3095,0.0,113.0,360.0,1.0
0,2083,3150.0,128.0,360.0,1.0
1,1958,2436.0,131.0,360.0,1.0
2,3547,0.0,80.0,360.0,0.0
0,2435,0.0,75.0,360.0,1.0
0,2699,2785.0,96.0,360.0,0
0,3691,0.0,110.0,360.0,1.0
0,3597,2157.0,119.0,360.0,0.0
1,3326,913.0,105.0,84.0,1.0
0,2600,1700.0,107.0,360.0,1.0
0,4625,2857.0,111.0,12.0,0
1,2895,0.0,95.0,360.0,1.0
0,645,3683.0,113.0,480.0,1.0
0,3159,0.0,100.0,360.0,1.0
1,4050,5302.0,138.0,360.0,0
0,3814,1483.0,124.0,300.0,1.0
0,3583,0.0,96.0,360.0,1.0
0,3598,1287.0,100.0,360.0,1.0
2,3283,2035.0,148.0,360.0,1.0
0,2130,6666.0,70.0,180.0,1.0
3,3466,3428.0,150.0,360.0,1.0
2,2031,1632.0,113.0,480.0,1.0
0,3074,1800.0,123.0,360.0,0.0
0,3400,0.0,95.0,360.0,1.0
2,2192,1742.0,45.0,360.0,1.0
0,2500,0.0,55.0,360.0,1.0
3,5677,1424.0,100.0,360.0,1.0
0,3775,0.0,110.0,360.0,1.0
1,2679,1302.0,94.0,360.0,1.0
0,6783,0.0,130.0,360.0,1.0
3,4281,0.0,100.0,360.0,1.0
2,3588,0.0,110.0,360.0,0.0
0,2550,2042.0,126.0,360.0,1.0
2,3617,0.0,107.0,360.0,1.0
0,2917,536.0,66.0,360.0,1.0
1,4608,2845.0,140.0,180.0,1.0
0,2138,0.0,99.0,360.0,0.0
1,3652,0.0,95.0,360.0,1.0
1,2239,2524.0,128.0,360.0,1.0
0,3017,663.0,102.0,360.0,0
0,3358,0.0,80.0,36.0,1.0
0,2526,1783.0,145.0,360.0,1.0
0,5000,0.0,103.0,360.0,0.0
0,2785,2016.0,110.0,360.0,1.0
0,3593,4266.0,132.0,180.0,0.0
1,5468,1032.0,26.0,360.0,1.0
0,2667,1625.0,84.0,360.0,0
2,3675,242.0,108.0,360.0,1.0
0,5800,0.0,132.0,360.0,1.0
0,4467,0.0,120.0,360.0,0
0,3333,0.0,70.0,360.0,1.0
3,3400,2500.0,123.0,360.0,0.0
0,2378,0.0,9.0,360.0,1.0
0,3166,2064.0,104.0,360.0,0.0
3,6406,0.0,150.0,360.0,1.0
2,3159,461.0,108.0,84.0,1.0
0,3087,2210.0,136.0,360.0,0.0
0,3229,2739.0,110.0,360.0,1.0
1,1782,2232.0,107.0,360.0,1.0
0,1836,33837.0,90.0,360.0,1.0
0,3166,0.0,36.0,360.0,1.0
1,1880,0.0,61.0,360.0,0
1,2787,1917.0,146.0,360.0,0.0
0,2297,1522.0,104.0,360.0,1.0
0,2165,0.0,70.0,360.0,1.0
0,4750,0.0,94.0,360.0,1.0
2,2726,0.0,106.0,360.0,0.0
0,3000,3416.0,56.0,180.0,1.0
0,3859,3300.0,142.0,180.0,1.0
0,3833,0.0,110.0,360.0,1.0
0,2987,0.0,88.0,360.0,0.0
3,5703,0.0,128.0,360.0,1.0
0,3232,1950.0,108.0,360.0,1.0
0,2900,0.0,71.0,360.0,1.0
3,4106,0.0,40.0,180.0,1.0
0,4583,0.0,133.0,360.0,0.0